,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-03-30 14:12:19.933,2444.94072265625,829.4333984375,4558.800201416016,13.399999618530273,3600,0.8,66.5,12.180553436279297,96,733,3,0,0,11.744322776794434,113.82649993896484,0,1,0.24991959909999997,11.494403177694434,71.52710678793623,71.52710678793623,5.0271067879362334
2023-03-30 14:12:21.011,2446.338916015625,828.8251220703125,4560.0,13.5,3600,0.8,66.69999694824219,12.303797721862793,96,730,3,0,0,11.744322776794434,113.8598403930664,1,1,0.2488914253,11.495431351494434,71.68635345812909,71.52869131877955,4.828694370537363
2023-03-30 14:12:23.020,2449.135546875,828.216845703125,4555.800018310547,13.5,3600,0.8,66.69999694824219,12.327043533325195,96,731,3,0,0,11.744322776794434,113.89318084716797,3,1,0.2492354883,11.495087288494434,71.79484446958006,71.53396150426899,4.8339645560268
2023-03-30 14:12:25.036,2450.533984375,829.4333984375,4561.199798583984,13.5,3600,0.8,66.9000015258789,12.280552864074707,96,727,3,0,0,11.75317668914795,113.92652130126953,5,1,0.24785921549999998,11.505317473647949,71.76445792625434,71.53852563922234,4.638524113343436
2023-03-30 14:12:27.043,2450.533984375,828.216845703125,4563.599853515625,13.5,3600,0.8,67.0999984741211,12.327043533325195,96,728,3,0,0,11.770883560180664,113.9598617553711,7,1,0.2481992633,11.522684296880664,71.83354709417841,71.54436745543345,4.444368981312351
2023-03-30 14:12:29.054,2450.533984375,831.2582275390625,4501.199798583984,13.5,3600,0.8,67.19999694824219,12.210820198059082,96,731,3,0,0,11.62037467956543,113.99320220947266,9,1,0.2492354883,11.37113919126543,71.6529934164158,71.54651839357422,4.34652144533203
2023-03-30 14:12:31.059,2453.33037109375,830.0417358398438,4561.7999267578125,13.5,3600,0.8,67.4000015258789,12.257307052612305,96,733,3,0,0,11.75317668914795,114.02654266357422,11,1,0.24991959909999997,11.50325709004795,71.80500093789948,71.55163669087891,4.151635165000002
2023-03-30 14:12:33.077,2451.932421875,832.4747192382813,4499.399871826172,13.5,3600,0.8,67.4000015258789,12.164334297180176,96,729,3,0,0,11.602667808532715,114.05988311767578,13,1,0.2485433263,11.354124482232715,71.6217825042078,71.5530256710448,4.153024145165887
2023-03-30 14:12:35.078,2453.33037109375,834.9078857421875,4500.600128173828,13.5,3600,0.8,67.5999984741211,12.0713529586792,96,726,3,0,0,11.602667808532715,114.09322357177734,15,1,0.2475151525,11.355152656032715,71.52288884298963,71.55242892186698,3.9524304477458827
2023-03-30 14:12:37.088,2453.33037109375,832.4747192382813,4497.599945068359,13.5,3600,0.8,67.5999984741211,12.164334297180176,96,734,3,0,0,11.5849609375,114.1265640258789,17,1,0.2502676981,11.3346932394,71.65892710015568,71.5545377270875,3.9545392529664127
